iter	Passed	Remaining
712	2245	904
713	2248	900
714	2251	897
715	2254	894
716	2258	891
717	2260	887
718	2264	884
719	2267	881
720	2269	878
721	2273	875
722	2275	871
723	2279	869
724	2283	866
725	2286	862
726	2289	859
727	2292	856
728	2296	853
729	2298	850
730	2301	847
731	2304	843
732	2307	840
733	2310	837
734	2313	834
735	2316	830
736	2319	827
737	2322	824
738	2325	821
739	2328	818
740	2331	815
741	2335	811
742	2338	808
743	2341	805
744	2344	802
745	2347	799
746	2350	796
747	2353	792
748	2356	789
749	2359	786
750	2362	783
751	2366	780
752	2369	777
753	2372	773
754	2375	770
755	2379	767
756	2382	764
757	2385	761
758	2388	758
759	2391	755
760	2394	751
761	2397	748
762	2400	745
763	2403	742
764	2406	739
765	2409	736
766	2412	732
767	2415	729
768	2418	726
769	2422	723
770	2425	720
771	2428	717
772	2431	714
773	2434	710
774	2436	707
775	2440	704
776	2442	701
777	2445	697
778	2448	694
779	2451	691
780	2455	688
781	2459	685
782	2462	682
783	2465	679
784	2468	676
785	2471	672
786	2474	669
787	2477	666
788	2480	663
789	2484	660
790	2487	657
791	2490	653
792	2493	650
793	2496	647
794	2499	644
795	2503	641
796	2506	638
797	2509	635
798	2512	631
799	2515	628
800	2518	625
801	2521	622
802	2524	619
803	2527	616
804	2530	612
805	2533	609
806	2536	606
807	2539	603
808	2543	600
809	2546	597
810	2549	594
811	2552	591
812	2555	587
813	2558	584
814	2561	581
815	2564	578
816	2567	575
817	2570	572
818	2574	568
819	2577	565
820	2580	562
821	2583	559
822	2587	556
823	2590	553
824	2593	550
825	2596	546
826	2599	543
827	2602	540
828	2605	537
829	2608	534
830	2611	531
831	2614	528
832	2617	524
833	2621	521
834	2624	518
835	2627	515
836	2630	512
837	2633	509
838	2636	505
839	2639	502
840	2643	499
841	2646	496
842	2649	493
843	2652	490
844	2655	487
845	2658	484
846	2662	480
847	2665	477
848	2668	474
849	2671	471
850	2674	468
851	2677	465
852	2681	462
853	2685	459
854	2687	455
855	2691	452
856	2694	449
857	2697	446
858	2701	443
859	2703	440
860	2707	437
861	2709	433
862	2712	430
863	2715	427
864	2719	424
865	2722	421
866	2724	418
867	2727	414
868	2730	411
869	2733	408
870	2736	405
871	2739	402
872	2742	398
873	2745	395
874	2748	392
875	2751	389
876	2754	386
877	2757	383
878	2760	380
879	2763	376
880	2766	373
881	2769	370
882	2772	367
883	2776	364
884	2779	361
885	2782	358
886	2785	354
887	2788	351
888	2792	348
889	2795	345
890	2798	342
891	2801	339
892	2804	336
893	2807	332
894	2810	329
895	2813	326
896	2816	323
897	2819	320
898	2822	317
899	2825	313
900	2828	310
901	2831	307
902	2834	304
903	2837	301
904	2840	298
905	2843	295
906	2846	291
907	2849	288
908	2852	285
909	2855	282
910	2858	279
911	2861	276
912	2865	273
913	2868	269
914	2871	266
915	2874	263
916	2877	260
917	2880	257
918	2883	254
919	2886	251
920	2890	247
921	2893	244
922	2896	241
923	2899	238
924	2902	235
925	2905	232
926	2907	228
927	2910	225
928	2913	222
929	2916	219
930	2920	216
931	2923	213
932	2925	210
933	2928	206
934	2931	203
935	2934	200
936	2937	197
937	2940	194
938	2943	191
939	2946	188
940	2949	184
941	2952	181
942	2955	178
943	2958	175
944	2961	172
945	2964	169
946	2967	166
947	2970	162
948	2973	159
949	2976	156
950	2979	153
951	2981	150
952	2984	147
953	2987	144
954	2990	140
955	2993	137
956	2996	134
957	2999	131
958	3002	128
959	3004	125
960	3007	122
961	3010	118
962	3013	115
963	3016	112
964	3019	109
965	3022	106
966	3025	103
967	3028	100
968	3031	96
969	3034	93
970	3037	90
971	3040	87
972	3043	84
973	3046	81
974	3049	78
975	3053	75
976	3056	71
977	3059	68
978	3062	65
979	3065	62
980	3068	59
981	3071	56
982	3075	53
983	3079	50
984	3082	46
985	3085	43
986	3088	40
987	3091	37
988	3094	34
989	3097	31
990	3100	28
991	3103	25
992	3106	21
993	3110	18
994	3113	15
995	3116	12
996	3119	9
997	3123	6
998	3126	3
999	3129	0
